Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
VerifyCheckBoxes,Chrome 117.0.0.0,,,2023-10-11 12:58:31,2023-10-11 12:58:51,19.584s,PASSED
,,,,,,,
Test Cases/LoginCheckBoxClickable,Chrome 117.0.0.0,,,2023-10-11 12:58:32,2023-10-11 12:58:41,9.016s,PASSED
"openBrowser("""")",Chrome 117.0.0.0,,,2023-10-11 12:58:32,2023-10-11 12:58:35,3.099s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 117.0.0.0,,,2023-10-11 12:58:35,2023-10-11 12:58:36,1.146s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 117.0.0.0,,,2023-10-11 12:58:36,2023-10-11 12:58:37,0.609s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 117.0.0.0,,,2023-10-11 12:58:37,2023-10-11 12:58:38,0.811s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 117.0.0.0,,,2023-10-11 12:58:38,2023-10-11 12:58:38,0.451s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Password_password""), Keys.chord(ENTER))",Chrome 117.0.0.0,,,2023-10-11 12:58:38,2023-10-11 12:58:39,0.575s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Medicare_programs""))",Chrome 117.0.0.0,,,2023-10-11 12:58:39,2023-10-11 12:58:39,0.507s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Medicaid_programs""))",Chrome 117.0.0.0,,,2023-10-11 12:58:39,2023-10-11 12:58:40,0.330s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_None_programs""))",Chrome 117.0.0.0,,,2023-10-11 12:58:40,2023-10-11 12:58:40,0.335s,PASSED
closeBrowser(),Chrome 117.0.0.0,,,2023-10-11 12:58:40,2023-10-11 12:58:41,0.706s,PASSED
,,,,,,,
Test Cases/LoginClickCheckBoxes,Chrome 117.0.0.0,,,2023-10-11 12:58:41,2023-10-11 12:58:51,10.293s,PASSED
"openBrowser("""")",Chrome 117.0.0.0,,,2023-10-11 12:58:41,2023-10-11 12:58:43,2.005s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 117.0.0.0,,,2023-10-11 12:58:43,2023-10-11 12:58:44,1.152s,PASSED
maximizeWindow(),Chrome 117.0.0.0,,,2023-10-11 12:58:44,2023-10-11 12:58:44,0.158s,PASSED
waitForPageLoad(0),Chrome 117.0.0.0,,,2023-10-11 12:58:44,2023-10-11 12:58:44,0.130s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 117.0.0.0,,,2023-10-11 12:58:44,2023-10-11 12:58:45,0.548s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/body_CURA Healthcare                       _fb9a78""))",Chrome 117.0.0.0,,,2023-10-11 12:58:45,2023-10-11 12:58:46,0.483s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 117.0.0.0,,,2023-10-11 12:58:46,2023-10-11 12:58:46,0.666s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 117.0.0.0,,,2023-10-11 12:58:46,2023-10-11 12:58:47,0.422s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Password_password""), Keys.chord(ENTER))",Chrome 117.0.0.0,,,2023-10-11 12:58:47,2023-10-11 12:58:47,0.598s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Medicaid_programs""))",Chrome 117.0.0.0,,,2023-10-11 12:58:47,2023-10-11 12:58:48,0.486s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_None_programs""))",Chrome 117.0.0.0,,,2023-10-11 12:58:48,2023-10-11 12:58:48,0.353s,PASSED
"takeFullPageScreenshotAsCheckpoint(""CheckBoxClicked"")",Chrome 117.0.0.0,,,2023-10-11 12:58:48,2023-10-11 12:58:50,2.241s,PASSED
closeBrowser(),Chrome 117.0.0.0,,,2023-10-11 12:58:50,2023-10-11 12:58:51,0.688s,PASSED
