Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
VerifyElements,Chrome 117.0.0.0,,,2023-10-11 12:57:36,2023-10-11 12:57:57,21.438s,PASSED
,,,,,,,
Test Cases/VerifyHomePagePresent,Chrome 117.0.0.0,,,2023-10-11 12:57:36,2023-10-11 12:57:48,11.362s,PASSED
"callTestCase(findTestCase(""OpenToWebsite""), [:], STOP_ON_FAILURE)",Chrome 117.0.0.0,,,2023-10-11 12:57:37,2023-10-11 12:57:42,5.130s,PASSED
maximizeWindow(),Chrome 117.0.0.0,,,2023-10-11 12:57:42,2023-10-11 12:57:42,0.026s,PASSED
waitForPageLoad(0),Chrome 117.0.0.0,,,2023-10-11 12:57:42,2023-10-11 12:57:42,0.167s,PASSED
"takeFullPageScreenshotAsCheckpoint(""homepage"", [])",Chrome 117.0.0.0,,,2023-10-11 12:57:42,2023-10-11 12:57:44,1.918s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_CURA Healthcare Service/h1_CURA Healthcare Service""), 0)",Chrome 117.0.0.0,,,2023-10-11 12:57:44,2023-10-11 12:57:44,0.371s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_CURA Healthcare Service/h3_We Care About Your Health""), 0)",Chrome 117.0.0.0,,,2023-10-11 12:57:44,2023-10-11 12:57:45,0.325s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Make Appointment""), 0)",Chrome 117.0.0.0,,,2023-10-11 12:57:45,2023-10-11 12:57:45,0.328s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_CURA Healthcare Service/strong_CURA Healthcare Service""), 0)",Chrome 117.0.0.0,,,2023-10-11 12:57:45,2023-10-11 12:57:45,0.328s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_CURA Healthcare Service/p_Atlanta 550 Pharr Road NE Suite 525Atlant_8f4c85""), 0)",Chrome 117.0.0.0,,,2023-10-11 12:57:45,2023-10-11 12:57:46,0.329s,PASSED
