Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
VerifyLoginEles,Chrome 117.0.0.0,,,2023-10-11 12:58:01,2023-10-11 12:58:28,27.322s,PASSED
,,,,,,,
Test Cases/LoginAndVerifyPresent,Chrome 117.0.0.0,,,2023-10-11 12:58:01,2023-10-11 12:58:15,14.366s,PASSED
"callTestCase(findTestCase(""Login""), [:], STOP_ON_FAILURE)",Chrome 117.0.0.0,,,2023-10-11 12:58:02,2023-10-11 12:58:09,7.526s,PASSED
maximizeWindow(),Chrome 117.0.0.0,,,2023-10-11 12:58:09,2023-10-11 12:58:09,0.136s,PASSED
"takeFullPageScreenshotAsCheckpoint(""LoginPage"")",Chrome 117.0.0.0,,,2023-10-11 12:58:09,2023-10-11 12:58:11,2.254s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_CURA Healthcare Service/h2_Make Appointment""), 0)",Chrome 117.0.0.0,,,2023-10-11 12:58:11,2023-10-11 12:58:12,0.336s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_CURA Healthcare Service/label_Facility""), 0)",Chrome 117.0.0.0,,,2023-10-11 12:58:12,2023-10-11 12:58:12,0.320s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_CURA Healthcare Service/select_Tokyo CURA Healthcare Center        _5b4107""), 0)",Chrome 117.0.0.0,,,2023-10-11 12:58:12,2023-10-11 12:58:12,0.319s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_CURA Healthcare Service/label_Apply for hospital readmission""), 0)",Chrome 117.0.0.0,,,2023-10-11 12:58:12,2023-10-11 12:58:13,0.321s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_CURA Healthcare Service/label_Healthcare Program""), 0)",Chrome 117.0.0.0,,,2023-10-11 12:58:13,2023-10-11 12:58:13,0.321s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_CURA Healthcare Service/div_Medicare                               _cb3988""), 0)",Chrome 117.0.0.0,,,2023-10-11 12:58:13,2023-10-11 12:58:13,0.339s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_CURA Healthcare Service/label_Visit Date (Required)""), 0)",Chrome 117.0.0.0,,,2023-10-11 12:58:13,2023-10-11 12:58:14,0.366s,PASSED
